#PS1ID,Filter,Mag,Magerr,MJD,Phot_flag,Infobits
153851661137291254,g,13.378,0.015,58802.552471,0,4096
153851661137291254,g,13.711,0.010,59033.197191,0,4096
153851661137291254,g,13.576,0.009,59037.211117,0,4096
153851661137291254,g,13.127,0.013,58913.312184,0,4096
153851661137291254,g,13.869,0.015,59001.170633,0,4096
153851661137291254,g,13.233,0.007,58849.516644,0,4096
153851661137291254,g,13.696,0.010,59272.387134,0,4096
153851661137291254,g,13.502,0.008,59336.245518,0,4096
153851661137291254,g,13.280,0.013,59307.285943,0,4097
153851661137291254,g,13.235,0.007,58849.515741,0,4096
153851661137291254,g,13.762,0.012,58993.247544,0,4096
153851661137291254,g,13.030,0.007,58909.293651,0,4096
153851661137291254,g,13.582,0.011,59365.196068,0,4096
153851661137291254,g,13.542,0.005,59353.219043,0,4096
153851661137291254,g,13.558,0.011,59367.240687,0,4096
153851661137291254,g,13.236,0.008,58837.512416,0,4096
153851661137291254,g,13.122,0.007,58891.240787,0,4096
153851661137291254,g,13.504,0.016,58233.224513,0,4096
153851661137291254,g,13.649,0.013,59346.354394,0,4096
153851661137291254,g,13.604,0.011,59366.245875,0,4096
153851661137291254,g,13.076,0.011,58962.228960,0,4096
153851661137291254,g,13.771,0.011,58493.531224,0,4096
153851661137291254,g,13.133,0.010,58894.325846,0,4096
153851661137291254,g,13.285,0.006,58861.448992,0,4096
153851661137291254,g,13.852,0.006,59254.452825,0,67112960
153851661137291254,g,13.271,0.006,58855.520693,0,4096
153851661137291254,g,13.854,0.011,58999.223158,0,4096
153851661137291254,g,13.376,0.010,58874.377657,0,67112961
153851661137291254,g,13.712,0.009,59269.231498,0,4096
153851661137291254,g,13.972,0.014,58282.259270,0,4096
153851661137291254,g,13.783,0.011,58994.234855,0,4096
153851661137291254,g,13.447,0.014,59144.506586,0,4096
153851661137291254,g,13.752,0.009,58487.466497,0,4096
153851661137291254,g,13.073,0.010,58883.450645,0,4096
153851661137291254,g,13.440,0.009,59293.291047,0,4096
153851661137291254,g,13.188,0.006,58963.257100,0,4096
153851661137291254,g,13.702,0.010,58450.510811,0,4096
153851661137291254,g,13.258,0.012,58249.208168,0,4096
153851661137291254,g,13.248,0.010,58939.328133,0,4096
153851661137291254,g,13.298,0.011,58873.379968,0,4096
153851661137291254,g,13.565,0.020,58208.288945,0,67112960
153851661137291254,g,13.142,0.011,58884.462615,0,4096
153851661137291254,g,13.307,0.004,58867.432345,0,4096
153851661137291254,g,13.054,0.009,58909.292713,0,4096
153851661137291254,g,13.579,0.013,59322.200073,0,4096
153851661137291254,g,13.349,0.019,58236.180685,0,4096
153851661137291254,g,14.291,0.012,58295.176439,0,4096
153851661137291254,g,13.773,0.010,58992.196661,0,4096
153851661137291254,g,13.146,0.009,58792.533680,0,4096
153851661137291254,g,13.076,0.007,58883.449719,0,4096
153851661137291254,g,13.795,0.013,58258.172339,0,4096
153851661137291254,g,13.167,0.026,58890.284338,0,4096
153851661137291254,g,13.142,0.013,58891.241725,0,4096
153851661137291254,g,13.712,0.014,58426.490267,0,4096
153851661137291254,g,13.130,0.010,58894.326784,0,4096
153851661137291254,g,13.375,0.015,58229.266129,0,4096
153851661137291254,g,14.119,0.013,59200.473216,0,67112960
153851661137291254,g,13.339,0.009,58236.201517,0,4096
153851661137291254,g,13.647,0.012,58469.516375,0,4096
153851661137291254,g,13.687,0.014,58437.512268,0,4096
153851661137291254,g,13.844,0.011,58609.194684,0,4096
153851661137291254,g,13.403,0.009,59304.221842,0,4096
153851661137291254,g,14.015,0.013,58283.240743,0,4096
153851661137291254,g,13.662,0.011,59140.506214,0,4096
153851661137291254,g,13.060,0.010,58881.462652,0,4097
153851661137291254,g,13.326,0.008,59309.178206,0,4096
153851661137291254,g,13.848,0.008,59250.370787,0,4096
153851661137291254,g,13.689,0.011,58503.551725,0,4096
153851661137291254,g,13.295,0.006,58875.436748,0,4096
153851661137291254,g,13.870,0.012,58996.207395,0,4096
153851661137291254,g,13.596,0.008,59142.493695,0,4096
