ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,obsdate,obsjd,exptime,filefracday,seeing,airmass,maglimit,crval1,crval2
165.77272105,38.11286954,0,713,3,1,8,1,zg,2018-11-21 12:50:51.351+00,2458444.0353125,30.0,20181121535301,2.0865,1.103,21.284,165.7726763909,38.11282924626
165.77367688,38.1134866,0,713,3,1,8,1,zg,2018-11-21 12:52:17.018+00,2458444.0363079,30.0,20181121536262,1.94274,1.1,21.3503,165.7736321607,38.1134505729
165.7788136,38.11379168,0,713,3,1,8,1,zg,2018-11-28 12:14:42.541+00,2458451.0102083,30.0,20181128510197,2.13476,1.118,20.3334,165.7787677235,38.11375836958
165.77905238,38.11347348,0,713,3,1,8,1,zg,2018-11-28 12:16:03.116+00,2458451.0111458,30.0,20181128511123,2.10199,1.116,20.3559,165.7790013841,38.11343532004
165.7763301,38.11848192,67108864,713,3,1,8,1,zg,2018-12-09 11:54:06.448+00,2458461.9959028,30.0,20181209495891,3.13438,1.08,19.9894,165.7762940479,38.11844889851
165.77693487,38.11865746,0,713,3,1,8,1,zg,2018-12-09 11:55:25.223+00,2458461.9968171,30.0,20181209496806,3.01254,1.078,20.0708,165.7769078091,38.11862574892
165.77405247,38.11509013,0,713,3,1,8,1,zg,2018-12-12 11:34:27.828+00,2458464.9822569,30.0,20181212482257,2.47734,1.093,21.0953,165.7740148531,38.11505847572
165.77391601,38.11535855,0,713,3,1,8,1,zg,2018-12-12 11:35:48.318+00,2458464.9831944,30.0,20181212483171,2.50738,1.09,21.0729,165.7738661501,38.11532535128
165.77506119,38.11783524,67108864,713,3,1,8,1,zg,2018-12-14 12:21:55.866+00,2458467.0152199,30.0,20181214515197,3.65376,1.028,17.563,165.7750510137,38.11779960298
165.77787534,38.1162636,100663296,713,3,1,8,1,zg,2018-12-15 11:09:15.879+00,2458467.9647569,30.0,20181215464711,1.79372,1.116,18.6812,165.777840869,38.11622705664
165.77657589,38.11495131,67108864,713,3,1,8,1,zg,2018-12-15 11:21:27.904+00,2458467.9732292,30.0,20181215473206,2.22465,1.095,19.4796,165.7765314451,38.11491508316
165.77729163,38.11165045,0,713,3,1,8,1,zg,2018-12-16 10:57:42.078+00,2458468.9567361,30.0,20181216456713,2.42978,1.131,21.0716,165.7772475298,38.11160711005
165.77475214,38.11710733,0,713,3,1,8,1,zg,2018-12-17 12:20:24.155+00,2458470.0141667,30.0,20181217514144,1.97681,1.021,21.4651,165.7747165834,38.11707700016
165.78203858,38.10964471,0,713,3,1,8,1,zg,2018-12-20 12:42:36.108+00,2458473.0295833,30.0,20181220529560,2.02032,1.007,21.2631,165.7820031003,38.10961310276
