#Table: J/MNRAS/402/620/table7.dat (http://cdsarc.cds.unistra.fr)
---------------------------------------------------------------------------------------------------------------------
S                       |      |     |    |   |     |     |    |    |     |    |    |    | M|    |    |         |
o                       |      |     |   P| Fi|     |    e|    |  e_|     |   e|    |   e|Ty|    |  e_|         |   N
l    SDSS               |Type  |  MJD|late|ber| Teff|_Teff|logg|logg|  Mwd|_Mwd| dwd|_dwd|pe|dsec|dsec|Flag     |otes
------------------------|------|-----|----|---|-----|-----|----|----|-----|----|----|----|--|----|----|---------|----
0SDSSJ003223.65+082329.5|DA/M  |53710|2327|321|16525| 4204|9.17|0.33| 1.29|0.17| 188|  80|-1|   0|   0|         |
1SDSSJ003257.12+000631.3|DA/M  |52525|1086|384|20098| 3559|7.57|0.65| 0.42|0.34|1184| 430| 4|1826| 538|s/e      |
0SDSSJ003257.12+000631.3|DA/M  |52525|1086|384| 9958|  732|8.37|0.85| 0.84|0.47| 320| 177| 4|1826| 538|s/e      |
1SDSSJ003301.53+005716.9|DA/M  |52262| 689|569|19868| 5716|8.82|0.75| 1.11|0.39| 572| 386| 3|1132| 223|s/e      |
0SDSSJ003301.53+005716.9|DA/M  |52262| 689|569|16525| 7397|9.18|0.86| 1.29|0.44| 331| 287| 3|1132| 223|s/e      |
1SDSSJ003336.49+004151.3|WD/M  |52932|1127|422|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 300|  88|         |
0SDSSJ003336.49+004151.3|WD/M  |52932|1127|422|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 300|  88|         |
1SDSSJ003413.23+000431.5|WD/M  |52261| 690|360|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 946| 186|         |
0SDSSJ003413.23+000431.5|WD/M  |52261| 690|360|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 946| 186|         |
1SDSSJ003413.23+000431.5|WD/M  |52262| 689|596|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 954| 188|         |
0SDSSJ003413.23+000431.5|WD/M  |52262| 689|596|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 954| 188|         |
1SDSSJ003416.17-000849.8|WD/K  |51793| 392|224|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
0SDSSJ003416.17-000849.8|WD/K  |51793| 392|224|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
1SDSSJ003416.17-000849.8|DA/K  |52262| 689| 75|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
0SDSSJ003416.17-000849.8|DA/K  |52262| 689| 75|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
1SDSSJ003416.17-000849.8|DA/K  |52261| 690|273|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
0SDSSJ003416.17-000849.8|DA/K  |52261| 690|273|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
1SDSSJ003547.34-004938.7|WD/M  |51793| 392|125|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 0|1775| 239|         |
0SDSSJ003547.34-004938.7|WD/M  |51793| 392|125|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 0|1775| 239|         |
1SDSSJ003602.59+070047.2|DA/M  |53709|2312|164|32972|  260|7.87|0.06| 0.59|0.03| 291|  13| 4| 234|  69|h        |3
0SDSSJ003602.59+070047.2|DA/M  |53709|2312|164| 8875|11127|9.50|1.75| 1.46|0.83|  13|  27| 4| 234|  69|h        |
1SDSSJ003628.06-003124.9|DA/M  |52262| 689| 22|18120| 3210|7.01|0.67| 0.26|0.19|1593| 626| 3|1095| 216|s/e      |4
0SDSSJ003628.06-003124.9|DA/M  |52262| 689| 22| 9958|  689|7.93|1.06| 0.56|0.64| 425| 242| 3|1095| 216|s/e      |
1SDSSJ003628.06-003124.9|DA/M  |52261| 690|222|23886| 2136|7.84|0.29| 0.55|0.16| 803| 148| 4| 648| 191|s/e      |
0SDSSJ003628.06-003124.9|DA/M  |52261| 690|222|10189|  345|9.09|0.27| 1.24|0.14| 114|  36| 4| 648| 191|s/e      |
